flip_p,num_iter,accuracy,baseline_accuracy,clamped_accuracy,tall_accuracy,clamped_to_tall_improvement,baseline_to_tall_improvement,is_best
0.1,100,97.12,52.17,49.56,97.12,47.56,44.95,True
0.05,10,97.11,52.17,49.56,97.11,47.55,44.94,False
0.1,30,97.1,52.17,49.56,97.1,47.53999999999999,44.92999999999999,False
0.15,40,97.1,52.17,49.56,97.1,47.53999999999999,44.92999999999999,False
0.25,200,97.1,52.17,49.56,97.1,47.53999999999999,44.92999999999999,False
0.05,20,97.09,52.17,49.56,97.09,47.53,44.92,False
0.05,50,97.09,52.17,49.56,97.09,47.53,44.92,False
0.05,40,97.08,52.17,49.56,97.08,47.519999999999996,44.91,False
0.1,200,97.08,52.17,49.56,97.08,47.519999999999996,44.91,False
0.2,100,97.08,52.17,49.56,97.08,47.519999999999996,44.91,False
0.05,100,97.07,52.17,49.56,97.07,47.50999999999999,44.89999999999999,False
0.15,100,97.07,52.17,49.56,97.07,47.50999999999999,44.89999999999999,False
0.15,200,97.07,52.17,49.56,97.07,47.50999999999999,44.89999999999999,False
0.2,200,97.05,52.17,49.56,97.05,47.489999999999995,44.879999999999995,False
0.25,50,97.05,52.17,49.56,97.05,47.489999999999995,44.879999999999995,False
0.1,50,97.04,52.17,49.56,97.04,47.480000000000004,44.870000000000005,False
0.15,30,97.04,52.17,49.56,97.04,47.480000000000004,44.870000000000005,False
0.25,40,97.04,52.17,49.56,97.04,47.480000000000004,44.870000000000005,False
0.3,50,97.04,52.17,49.56,97.04,47.480000000000004,44.870000000000005,False
0.05,200,97.03,52.17,49.56,97.03,47.47,44.86,False
0.1,40,97.03,52.17,49.56,97.03,47.47,44.86,False
0.15,10,97.03,52.17,49.56,97.03,47.47,44.86,False
0.1,10,97.02,52.17,49.56,97.02,47.459999999999994,44.849999999999994,False
0.2,40,97.02,52.17,49.56,97.02,47.459999999999994,44.849999999999994,False
0.05,30,97.01,52.17,49.56,97.01,47.45,44.84,False
0.1,20,97.01,52.17,49.56,97.01,47.45,44.84,False
0.35,200,97.01,52.17,49.56,97.01,47.45,44.84,False
0.3,200,97.0,52.17,49.56,97.0,47.44,44.83,False
0.1,5,96.99,52.17,49.56,96.99,47.42999999999999,44.81999999999999,False
0.15,20,96.99,52.17,49.56,96.99,47.42999999999999,44.81999999999999,False
0.2,30,96.99,52.17,49.56,96.99,47.42999999999999,44.81999999999999,False
0.25,30,96.99,52.17,49.56,96.99,47.42999999999999,44.81999999999999,False
0.35,100,96.98,52.17,49.56,96.98,47.42,44.81,False
0.15,50,96.97,52.17,49.56,96.97,47.41,44.8,False
0.25,100,96.97,52.17,49.56,96.97,47.41,44.8,False
0.35,40,96.97,52.17,49.56,96.97,47.41,44.8,False
0.4,200,96.97,52.17,49.56,96.97,47.41,44.8,False
0.05,5,96.95,52.17,49.56,96.95,47.39,44.78,False
0.2,20,96.95,52.17,49.56,96.95,47.39,44.78,False
0.2,10,96.94,52.17,49.56,96.94,47.379999999999995,44.769999999999996,False
0.2,50,96.94,52.17,49.56,96.94,47.379999999999995,44.769999999999996,False
0.3,100,96.94,52.17,49.56,96.94,47.379999999999995,44.769999999999996,False
0.15,5,96.93,52.17,49.56,96.93,47.370000000000005,44.760000000000005,False
0.3,30,96.92,52.17,49.56,96.92,47.36,44.75,False
0.3,40,96.89,52.17,49.56,96.89,47.33,44.72,False
0.25,20,96.87,52.17,49.56,96.87,47.31,44.7,False
0.4,100,96.86,52.17,49.56,96.86,47.3,44.69,False
0.05,1,96.85,52.17,49.56,96.85,47.28999999999999,44.67999999999999,False
0.4,50,96.83,52.17,49.56,96.83,47.269999999999996,44.66,False
0.35,50,96.82,52.17,49.56,96.82,47.25999999999999,44.64999999999999,False
0.35,30,96.8,52.17,49.56,96.8,47.239999999999995,44.629999999999995,False
0.25,10,96.77,52.17,49.56,96.77,47.209999999999994,44.599999999999994,False
0.3,10,96.77,52.17,49.56,96.77,47.209999999999994,44.599999999999994,False
0.4,40,96.77,52.17,49.56,96.77,47.209999999999994,44.599999999999994,False
0.35,20,96.76,52.17,49.56,96.76,47.2,44.59,False
0.45,200,96.71,52.17,49.56,96.71,47.14999999999999,44.53999999999999,False
0.2,5,96.68,52.17,49.56,96.68,47.120000000000005,44.510000000000005,False
0.3,20,96.65,52.17,49.56,96.65,47.09,44.480000000000004,False
0.25,5,96.56,52.17,49.56,96.56,47.0,44.39,False
0.1,1,96.55,52.17,49.56,96.55,46.989999999999995,44.379999999999995,False
0.4,30,96.36,52.17,49.56,96.36,46.8,44.19,False
0.45,100,96.14,52.17,49.56,96.14,46.58,43.97,False
0.3,5,96.09,52.17,49.56,96.09,46.53,43.92,False
0.4,20,95.95,52.17,49.56,95.95,46.39,43.78,False
0.35,10,95.94,52.17,49.56,95.94,46.379999999999995,43.769999999999996,False
0.15,1,95.77,52.17,49.56,95.77,46.209999999999994,43.599999999999994,False
0.35,5,94.6,52.17,49.56,94.6,45.03999999999999,42.42999999999999,False
0.2,1,94.59,52.17,49.56,94.59,45.03,42.42,False
0.45,50,94.56,52.17,49.56,94.56,45.0,42.39,False
0.4,10,93.34,52.17,49.56,93.34,43.78,41.17,False
0.45,40,93.16,52.17,49.56,93.16,43.599999999999994,40.989999999999995,False
0.25,1,90.88,52.17,49.56,90.88,41.31999999999999,38.709999999999994,False
0.45,30,90.53,52.17,49.56,90.53,40.97,38.36,False
0.4,5,85.51,52.17,49.56,85.51,35.95,33.34,False
0.45,20,84.9,52.17,49.56,84.9,35.34,32.730000000000004,False
0.3,1,82.27,52.17,49.56,82.27,32.709999999999994,30.099999999999994,False
0.45,10,67.12,52.17,49.56,67.12,17.560000000000002,14.950000000000003,False
0.35,1,66.48,52.17,49.56,66.48,16.92,14.310000000000002,False
0.45,5,49.88,52.17,49.56,49.88,0.3200000000000003,-2.289999999999999,False
0.4,1,45.05,52.17,49.56,45.05,-4.510000000000005,-7.1200000000000045,False
0.45,1,24.44,52.17,49.56,24.44,-25.12,-27.73,False
