flip_p,num_iter,accuracy,baseline_accuracy,clamped_accuracy,tall_accuracy,clamped_to_tall_improvement,baseline_to_tall_improvement,is_best
0.15,40,89.0,97.38,88.88,89.0,0.1200000000000045,-8.379999999999995,True
0.15,30,88.99,97.38,88.88,88.99,0.1099999999999994,-8.39,False
0.05,20,88.97,97.38,88.88,88.97,0.0900000000000034,-8.409999999999997,False
0.05,200,88.95,97.38,88.88,88.95,0.0700000000000073,-8.429999999999993,False
0.15,100,88.92,97.38,88.88,88.92,0.0400000000000062,-8.459999999999994,False
0.2,50,88.87,97.38,88.88,88.87,-0.0099999999999909,-8.509999999999991,False
0.05,50,88.86,97.38,88.88,88.86,-0.019999999999996,-8.519999999999996,False
0.1,100,88.86,97.38,88.88,88.86,-0.019999999999996,-8.519999999999996,False
0.1,200,88.86,97.38,88.88,88.86,-0.019999999999996,-8.519999999999996,False
0.15,200,88.86,97.38,88.88,88.86,-0.019999999999996,-8.519999999999996,False
